Entity,Code,Year,Number of trees
Afghanistan,AFG,2014,363350272
Albania,ALB,2014,1075789312
Algeria,DZA,2014,835195712
American Samoa,ASM,2014,2733980
Andorra,AND,2014,23110062
Angola,AGO,2014,42050605056
Anguilla,AIA,2014,128658.7422
Antigua and Barbuda,ATG,2014,7557658.5
Argentina,ARG,2014,50239651840
Armenia,ARM,2014,401684608
Aruba,ABW,2014,62972.375
Australia,AUS,2014,76714500096
Austria,AUT,2014,3075817472
Azerbaijan,AZE,2014,774163904
Bahamas,BHS,2014,172517984
Bahrain,BHR,2014,3034
Bangladesh,BGD,2014,962728512
Barbados,BRB,2014,4538993.5
Belarus,BLR,2014,5708252672
Belgium,BEL,2014,528807456
Belize,BLZ,2014,1206968576
Benin,BEN,2014,2060631680
Bermuda,BMU,2014,48299.10938
Bhutan,BTN,2014,1851211264
Bolivia,BOL,2014,59277484032
Bonaire Sint Eustatius and Saba,BES,2014,1142610.125
Bosnia and Herzegovina,BIH,2014,1971107584
Botswana,BWA,2014,8090545152
Brazil,BRA,2014,302000000000
British Indian Ocean Territory,IOT,2014,42790.3
British Virgin Islands,VGB,2014,1358791.25
Brunei,BRN,2014,362057792
Bulgaria,BGR,2014,2789703168
Burkina Faso,BFA,2014,1020747520
Burundi,BDI,2014,379962624
Cambodia,KHM,2014,5550584320
Cameroon,CMR,2014,19430844416
Canada,CAN,2014,318000000000
Cape Verde,CPV,2014,21382088
Cayman Islands,CYM,2014,5952453
Central African Republic,CAF,2014,24261509120
Chad,TCD,2014,4657983488
Chile,CHL,2014,19183013888
China,CHN,2014,140000000000
Christmas Island,CXR,2014,564691.8125
Colombia,COL,2014,51425353728
Comoros,COM,2014,71864784
Congo,COG,2014,14476389376
Cook Islands,COK,2014,2450550
Costa Rica,CRI,2014,1907686400
Cote d'Ivoire,CIV,2014,7268032000
Croatia,HRV,2014,2347630080
Cuba,CUB,2014,2295274496
Curacao,CUW,2014,1503070
Cyprus,CYP,2014,63088928
Czechia,CZE,2014,2029378816
Democratic Republic of Congo,COD,2014,101000000000
Denmark,DNK,2014,303744992
Djibouti,DJI,2014,1359610.875
Dominica,DMA,2014,36888112
Dominican Republic,DOM,2014,1076733696
East Timor,TLS,2014,512039872
Ecuador,ECU,2014,10311026688
Egypt,EGY,2014,68253608
El Salvador,SLV,2014,408137600
Equatorial Guinea,GNQ,2014,1677304448
Eritrea,ERI,2014,303284512
Estonia,EST,2014,1864416640
Eswatini,SWZ,2014,910721280
Ethiopia,ETH,2014,13831444480
Falkland Islands,FLK,2014,187163536
Faroe Islands,FRO,2014,105559312
Fiji,FJI,2014,157028640
Finland,FIN,2014,24375093248
France,FRA,2014,12061049856
French Guiana,GUF,2014,5058747904
French Polynesia,PYF,2014,29777000
Gabon,GAB,2014,13914430464
Gambia,GMB,2014,51556520
Georgia,GEO,2014,2511206144
Germany,DEU,2014,8627454976
Ghana,GHA,2014,4554743808
Gibraltar,GIB,2014,14662.18555
Greece,GRC,2014,3228877056
Greenland,GRL,2014,279451904
Grenada,GRD,2014,10501244
Guadeloupe,GLP,2014,56673696
Guam,GUM,2014,1555332.875
Guatemala,GTM,2014,4663245824
Guernsey,GGY,2014,193486.0938
Guinea,GIN,2014,8895597568
Guinea-Bissau,GNB,2014,1023119744
Guyana,GUY,2014,11807313920
Haiti,HTI,2014,148971808
Honduras,HND,2014,4725467136
Hong Kong,HKG,2014,29745610
Hungary,HUN,2014,983371136
Iceland,ISL,2014,662753024
India,IND,2014,35181322240
Indonesia,IDN,2014,80665804800
Iran,IRN,2014,2269082112
Iraq,IRQ,2014,522965664
Ireland,IRL,2014,708511936
Isle of Man,IMN,2014,10181441
Israel,ISR,2014,12726418
Italy,ITA,2014,8801768448
Jamaica,JAM,2014,433465696
Japan,JPN,2014,18616717312
Jersey,JEY,2014,328057.4688
Jordan,JOR,2014,2508885.75
Kazakhstan,KAZ,2014,6124535808
Kenya,KEN,2014,3048628736
Kiribati,KIR,2014,998900
Kosovo,OWID_KOS,2014,241295664
Kuwait,KWT,2014,61079.32813
Kyrgyzstan,KGZ,2014,1175723264
