Entity,Code,Year,Tree density (trees per capita)
Afghanistan,AFG,2014,11.61586493
Albania,ALB,2014,371.669927
Algeria,DZA,2014,20.91704828
American Samoa,ASM,2014,49.42118583
Andorra,AND,2014,288.3243547
Angola,AGO,2014,1899.539652
Anguilla,AIA,2014,9.564283541
Antigua and Barbuda,ATG,2014,83.13981387
Argentina,ARG,2014,1201.815698
Armenia,ARM,2014,134.6132554
Aruba,ABW,2014,0.608834634
Australia,AUS,2014,3265.734207
Austria,AUT,2014,360.3984247
Azerbaijan,AZE,2014,81.16777843
Bahamas,BHS,2014,450.9437046
Bahrain,BHR,2014,0.002257254
Bangladesh,BGD,2014,6.073515255
Barbados,BRB,2014,15.86694504
Belarus,BLR,2014,602.7721935
Belgium,BEL,2014,47.1089269
Belize,BLZ,2014,3552.436075
Benin,BEN,2014,194.4082019
Bermuda,BMU,2014,0.740999822
Bhutan,BTN,2014,2418.139152
Bolivia,BOL,2014,5464.539096
Bonaire Sint Eustatius and Saba,BES,2014,54.06757796
Bosnia and Herzegovina,BIH,2014,515.3564665
Botswana,BWA,2014,3968.702416
Brazil,BRA,2014,1493.719411
British Indian Ocean Territory,IOT,2014,14.26343333
British Virgin Islands,VGB,2014,48.43484886
Brunei,BRN,2014,855.5139755
Bulgaria,BGR,2014,386.0491043
Burkina Faso,BFA,2014,58.59759357
Burundi,BDI,2014,36.24645742
Cambodia,KHM,2014,360.2341029
Cameroon,CMR,2014,851.5341505
Canada,CAN,2014,8952.638517
Cape Verde,CPV,2014,42.45535574
Cayman Islands,CYM,2014,100.5040523
Central African Republic,CAF,2014,5151.935289
Chad,TCD,2014,352.5798207
Chile,CHL,2014,1079.342436
China,CHN,2014,102.3527132
Christmas Island,CXR,2014,272.5346585
Colombia,COL,2014,1051.004756
Comoros,COM,2014,95.50924329
Congo,COG,2014,3175.625944
Cook Islands,COK,2014,163.6536664
Costa Rica,CRI,2014,386.3469127
Cote d'Ivoire,CIV,2014,349.3444341
Croatia,HRV,2014,554.1568502
Cuba,CUB,2014,203.8686078
Curacao,CUW,2014,9.642976288
Cyprus,CYP,2014,54.71444455
Czechia,CZE,2014,193.0798794
Democratic Republic of Congo,COD,2014,1460.728436
Denmark,DNK,2014,53.8596491
Djibouti,DJI,2014,1.534007597
Dominica,DMA,2014,509.9198518
Dominican Republic,DOM,2014,102.2640707
East Timor,TLS,2014,422.4378475
Ecuador,ECU,2014,645.1427365
Egypt,EGY,2014,0.818518734
El Salvador,SLV,2014,63.93381197
Equatorial Guinea,GNQ,2014,2155.74929
Eritrea,ERI,2014,46.40090965
Estonia,EST,2014,1419.269772
