latitude,longitude,rwi,error
17.6335519,-88.3410645,-0.572,0.451
17.2142640,-89.0222168,0.065,0.455
17.8846589,-88.9343262,0.547,0.448
17.2562360,-89.0222168,0.432,0.463
16.1408153,-89.0661621,-0.614,0.351
17.6126105,-88.3630371,0.377,0.445
17.0042615,-88.4069824,0.285,0.444
17.9264757,-88.9782715,0.114,0.459
17.4659524,-88.3850098,0.539,0.441
16.9832482,-89.0441895,-0.370,0.436
17.1092924,-88.9343262,0.011,0.436
17.7382226,-88.3190918,-0.484,0.423
17.5707203,-88.4289551,-0.008,0.457
16.1619207,-89.0222168,-0.898,0.361
17.0672871,-89.1320801,0.916,0.501
16.5835521,-88.5388184,-0.473,0.426
17.0252724,-89.1320801,-0.586,0.379
17.1512882,-89.1320801,-0.225,0.475
17.6754275,-88.3410645,-0.594,0.440
16.6467178,-88.3630371,-0.107,0.448
17.2142640,-88.8464355,0.051,0.463
17.5707203,-88.4509277,0.089,0.418
17.6544909,-88.4509277,-0.565,0.340
18.3858046,-88.4729004,0.015,0.437
16.5203656,-88.6267090,0.032,0.395
16.4571585,-88.4948730,-0.395,0.448
17.2772184,-88.6267090,0.184,0.410
18.3232401,-88.3630371,0.029,0.469
16.2463197,-88.9782715,-0.870,0.401
18.2189158,-88.3850098,-0.834,0.384
17.1512882,-89.1101074,-0.544,0.435
17.0042615,-88.2971191,0.414,0.422
16.2463197,-89.0441895,-0.360,0.406
16.7940233,-88.2971191,-0.233,0.490
17.9055685,-88.9562988,-0.143,0.438
17.9473804,-88.6926270,-0.129,0.399
17.7172934,-88.4509277,-0.292,0.410
17.9891824,-87.9235840,0.189,0.507
16.1408153,-88.8244629,-0.016,0.448
16.1197076,-88.8464355,0.008,0.447
17.3401514,-89.0661621,0.235,0.369
16.9832482,-88.3850098,0.196,0.409
17.1512882,-89.0881348,1.016,0.484
16.1619207,-89.0881348,-0.038,0.366
17.2352512,-89.0222168,0.095,0.453
18.3023803,-88.5388184,0.269,0.424
17.0042615,-88.3190918,0.142,0.450
16.6677684,-88.4948730,-0.461,0.350
17.1302914,-89.0441895,0.134,0.452
16.7098626,-88.3410645,-0.132,0.435
18.1145288,-88.5607910,0.248,0.450
16.6467178,-88.5168457,-0.394,0.460
17.1932744,-89.0881348,-0.350,0.448
17.5078668,-88.5827637,-0.316,0.419
16.6888167,-88.4289551,0.307,0.439
17.2772184,-88.7805176,0.206,0.427
17.2981985,-88.7805176,-0.541,0.461
17.8637468,-88.2971191,-0.524,0.419
18.2189158,-88.4729004,-0.225,0.460
17.2562360,-88.7365723,-0.262,0.430
17.1092924,-88.6706543,0.054,0.442
18.2189158,-88.4069824,0.519,0.456
18.3023803,-88.4509277,0.584,0.477
16.4992989,-88.4289551,-0.108,0.418
18.4275017,-88.3410645,-0.353,0.445
18.3649523,-88.4509277,-0.028,0.436
16.0985977,-88.8024902,0.533,0.490
18.3023803,-88.3630371,0.563,0.473
17.7591494,-88.7585449,-0.385,0.358
17.2772184,-88.6486816,0.306,0.447
16.2041247,-89.1979980,-0.310,0.448
17.5707203,-89.0441895,-0.261,0.446
16.2885057,-88.9562988,-0.719,0.446
17.5288204,-88.2312012,0.581,0.451
16.8571194,-88.3410645,0.062,0.394
18.1562911,-88.2971191,-0.005,0.354
16.4992989,-88.5168457,-0.049,0.422
16.6256648,-88.3630371,-0.181,0.474
17.9055685,-87.9895020,0.627,0.500
17.8637468,-88.6267090,-0.325,0.376
17.4240283,-88.3410645,-0.572,0.377
16.9832482,-88.2312012,0.573,0.479
