latitude,longitude,rwi,error
15.2311894,-61.3366699,-0.188,0.617
15.5912928,-61.4245605,-0.416,0.565
15.4219101,-61.3366699,-0.555,0.558
15.3795428,-61.2707520,-0.259,0.606
15.3795428,-61.3366699,0.208,0.554
15.5701276,-61.3366699,-0.026,0.607
15.2523892,-61.3806152,0.925,0.628
15.4430906,-61.2487793,0.800,0.623
15.6336167,-61.4245605,0.584,0.609
15.5489602,-61.4465332,-0.398,0.624
15.5489602,-61.4685059,0.445,0.646
15.4007275,-61.2927246,-0.313,0.552
15.4007275,-61.3586426,-0.130,0.596
15.3795428,-61.3586426,0.468,0.562
15.2099875,-61.3586426,-0.247,0.618
15.4854449,-61.2487793,0.154,0.608
15.2947823,-61.3586426,0.562,0.621
15.2947823,-61.3366699,0.000,0.666
15.2311894,-61.3146973,0.680,0.634
15.3371669,-61.3366699,0.149,0.601
15.2735868,-61.3366699,0.054,0.615
15.5912928,-61.3586426,0.735,0.609
15.4642688,-61.3366699,-0.397,0.506
15.5912928,-61.4025879,0.920,0.618
15.6336167,-61.4685059,0.399,0.608
15.4007275,-61.2487793,0.184,0.613
15.5701276,-61.4245605,-0.005,0.613
15.4007275,-61.3366699,-0.062,0.567
15.4219101,-61.4245605,0.510,0.597
15.2947823,-61.2487793,-0.273,0.573
15.5912928,-61.3806152,0.745,0.613
15.4430906,-61.4465332,0.605,0.624
15.3371669,-61.4025879,0.500,0.621
15.2735868,-61.2707520,-0.499,0.514
15.2523892,-61.3586426,-0.305,0.588
15.3583559,-61.2487793,0.351,0.598
15.4642688,-61.3806152,-0.319,0.502
15.5912928,-61.4685059,0.309,0.605
15.3583559,-61.2927246,-0.353,0.579
15.3371669,-61.3586426,0.369,0.590
15.4642688,-61.2487793,-0.161,0.596
15.5066188,-61.2487793,0.489,0.589
15.3159757,-61.2487793,0.482,0.608
15.5489602,-61.2707520,-0.256,0.552
15.5701276,-61.4685059,0.076,0.635
15.3583559,-61.3806152,-0.053,0.593
15.3159757,-61.4025879,0.540,0.600
15.3795428,-61.2487793,0.671,0.591
15.2523892,-61.2927246,0.315,0.627
15.5912928,-61.3146973,0.285,0.581
15.2523892,-61.2707520,-0.297,0.552
15.4430906,-61.2707520,-0.156,0.603
15.4007275,-61.3806152,-0.039,0.578
15.3371669,-61.2487793,0.658,0.613
15.4007275,-61.4025879,0.499,0.601
15.5277906,-61.4245605,-0.650,0.492
15.5066188,-61.2707520,0.324,0.608
15.2735868,-61.3586426,0.193,0.608
15.6336167,-61.4025879,0.006,0.745
15.4007275,-61.2707520,-0.429,0.521
15.4854449,-61.4685059,0.475,0.620
15.5489602,-61.2927246,0.502,0.606
15.6124559,-61.4025879,1.196,0.632
15.5066188,-61.4685059,0.433,0.607
15.2947823,-61.3806152,1.646,0.598
15.3159757,-61.3806152,1.090,0.642
15.5277906,-61.2927246,-0.033,0.602
15.5912928,-61.3366699,0.782,0.610
15.3795428,-61.3806152,-0.303,0.661
15.4219101,-61.2707520,-0.272,0.606
15.3795428,-61.4025879,0.851,0.614
15.2099875,-61.3366699,-0.537,0.523
15.4007275,-61.4245605,0.482,0.627
15.3159757,-61.3366699,0.711,0.612
15.4854449,-61.2707520,-0.069,0.595
15.5489602,-61.3146973,0.275,0.600
15.3583559,-61.2707520,0.011,0.604
15.4642688,-61.4465332,0.077,0.606
15.3583559,-61.3586426,0.452,0.576
15.3371669,-61.3806152,0.662,0.622
15.4854449,-61.4245605,-0.476,0.491
15.3583559,-61.4025879,0.625,0.626
15.4430906,-61.4245605,-0.262,0.640
15.4219101,-61.2487793,0.133,0.600
15.6124559,-61.4685059,0.464,0.619
15.5277906,-61.2707520,0.501,0.608
15.2735868,-61.2487793,-0.069,0.602
15.5701276,-61.3146973,0.401,0.625
15.2947823,-61.2707520,0.486,0.600
15.2735868,-61.3146973,-0.544,0.569
15.5701276,-61.4465332,0.730,0.640
15.4430906,-61.3366699,-0.373,0.592
15.2311894,-61.3586426,0.735,0.628
15.4430906,-61.3806152,-0.413,0.507
15.5912928,-61.4465332,-0.198,0.619
15.2735868,-61.3806152,0.420,0.627
15.2523892,-61.3146973,0.443,0.622
15.3159757,-61.3586426,0.277,0.628
