latitude,longitude,rwi,error
19.1555462,-69.8400879,-0.167,0.427
18.5941885,-69.5324707,0.069,0.415
19.2800355,-69.9060059,-0.053,0.458
19.1763010,-69.7082520,-0.249,0.438
18.5317000,-69.5764160,0.058,0.456
18.5733616,-68.5437012,-0.413,0.612
18.5733616,-69.6643066,-0.152,0.445
18.3649523,-68.8513184,0.142,0.512
18.5733616,-68.6315918,-0.074,0.450
18.4691886,-69.9060059,1.499,0.456
19.6943139,-70.8288574,0.121,0.440
18.6774709,-68.7194824,-1.012,0.505
19.5080198,-71.4440918,-0.710,0.414
19.3837043,-71.2902832,-0.206,0.454
19.1555462,-69.9279785,-0.177,0.528
18.9062862,-69.6203613,-0.601,0.384
19.0517333,-70.1477051,1.311,0.499
18.7607124,-70.3234863,-0.195,0.476
19.4873072,-70.4553223,-0.494,0.451
19.3007745,-69.5983887,0.313,0.453
19.1347889,-71.4440918,-0.453,0.337
19.1347889,-69.7961426,0.129,0.442
18.3858046,-70.2575684,0.000,0.398
18.6566542,-70.7189941,-0.210,0.431
19.3629758,-70.3674316,0.532,0.459
19.8183898,-71.5539551,-0.514,0.414
18.9270721,-68.7414551,0.347,0.443
19.2178026,-69.4445801,-0.147,0.454
19.6943139,-71.5100098,0.351,0.423
18.7399059,-68.5217285,-0.196,0.435
18.8439129,-70.1257324,-0.877,0.394
19.7356832,-71.1584473,-0.426,0.430
19.0517333,-70.6091309,-0.273,0.438
19.3215109,-71.0266113,-0.665,0.382
18.8231166,-71.2463379,0.771,0.508
18.4275017,-70.7849121,0.420,0.502
18.9894144,-71.2683105,-0.088,0.370
19.5287298,-70.8288574,0.025,0.449
19.6115432,-71.4880371,-0.418,0.393
18.6982852,-70.8068848,-0.853,0.363
18.5733616,-69.7302246,-0.318,0.442
18.6358348,-71.0266113,-0.381,0.432
18.9686362,-70.4553223,-0.399,0.437
19.4251534,-71.0925293,-0.619,0.430
19.1347889,-70.5651855,-0.449,0.459
19.7356832,-71.2023926,-0.237,0.391
18.7815164,-68.8952637,-0.811,0.470
19.2178026,-69.5324707,-0.086,0.450
18.7815164,-68.6535645,-0.290,0.417
18.6150130,-71.4440918,-0.363,0.355
18.8647066,-70.9606934,-0.309,0.462
19.7977172,-70.8288574,-0.570,0.426
19.4044302,-69.8620605,-0.070,0.392
18.7815164,-68.9831543,-0.496,0.436
18.8231166,-69.7082520,-0.828,0.400
19.8183898,-70.9167480,0.313,0.437
19.1555462,-70.8728027,-0.850,0.333
18.6358348,-69.4226074,-0.791,0.461
19.0517333,-70.3894043,-0.871,0.421
19.7770419,-70.4553223,0.592,0.467
18.6566542,-69.2468262,-0.376,0.437
18.4900283,-70.4772949,-0.353,0.450
19.7770419,-70.7189941,0.565,0.492
18.5941885,-68.7854004,-0.154,0.493
18.4900283,-69.2907715,0.973,0.492
19.1555462,-71.4660645,-0.471,0.345
19.3837043,-71.6198730,-0.919,0.450
18.9478555,-71.4221191,-0.661,0.424
18.7607124,-68.8513184,-0.501,0.399
18.5525320,-68.5217285,0.085,0.395
19.5080198,-70.5871582,-0.183,0.441
18.6982852,-71.6198730,-0.411,0.406
18.4900283,-70.0598145,0.734,0.490
18.8023178,-68.6975098,-0.592,0.524
18.4900283,-69.2687988,0.769,0.472
18.8023178,-68.6096191,-0.399,0.489
19.5494371,-70.7189941,-0.029,0.469
18.6358348,-68.6535645,0.440,0.471
18.6150130,-70.0817871,0.226,0.444
19.2385495,-70.4113770,0.793,0.469
19.8390597,-71.0046387,0.349,0.461
