latitude,longitude,rwi,error
12.2004420,-61.6442871,0.286,0.585
12.1145226,-61.6882324,-0.016,0.575
12.0070844,-61.7761230,0.926,0.622
12.2004420,-61.6003418,0.190,0.607
12.0715524,-61.6223145,0.504,0.585
11.9855916,-61.7541504,0.326,0.680
12.0500648,-61.6442871,1.152,0.594
12.2219175,-61.6223145,0.526,0.593
12.0500648,-61.7102051,0.885,0.600
12.0500648,-61.7321777,0.934,0.601
12.0070844,-61.7980957,0.541,0.701
12.0070844,-61.7541504,1.069,0.630
12.0930384,-61.7541504,0.801,0.598
12.5223904,-61.3806152,0.618,0.574
12.0070844,-61.6882324,-0.312,0.625
12.1574857,-61.6442871,0.073,0.588
12.0285754,-61.6882324,0.928,0.596
12.0715524,-61.6662598,0.230,0.619
12.4794869,-61.4465332,0.707,0.596
12.1360050,-61.7321777,0.489,0.586
12.1789647,-61.6442871,0.288,0.597
12.1145226,-61.7541504,0.638,0.581
12.0500648,-61.7541504,1.535,0.580
12.0715524,-61.7321777,1.042,0.601
12.0715524,-61.7541504,1.334,0.611
12.2004420,-61.6882324,0.059,0.575
12.0285754,-61.7321777,1.033,0.598
12.1574857,-61.6223145,0.599,0.595
12.1360050,-61.7102051,-0.114,0.586
12.0930384,-61.7321777,0.308,0.607
12.0285754,-61.6662598,0.884,0.589
12.2004420,-61.7102051,0.854,0.609
12.0500648,-61.6662598,0.549,0.597
12.0285754,-61.7761230,0.324,0.628
12.1789647,-61.7102051,-0.064,0.564
12.1360050,-61.6223145,0.956,0.607
12.2004420,-61.6223145,0.914,0.603
12.2219175,-61.6442871,1.279,0.603
12.0715524,-61.6442871,0.202,0.593
12.1789647,-61.6003418,0.627,0.591
12.1789647,-61.7321777,0.533,0.593
12.0070844,-61.7102051,0.611,0.606
12.0930384,-61.7102051,0.369,0.582
12.0070844,-61.7321777,0.647,0.610
12.1145226,-61.7321777,0.192,0.581
12.2219175,-61.6882324,0.374,0.577
12.1145226,-61.6223145,0.985,0.678
12.1145226,-61.6442871,0.677,0.591
12.2219175,-61.6003418,0.302,0.578
12.1360050,-61.6003418,0.073,0.593
12.5009395,-61.4245605,0.655,0.588
12.1145226,-61.6662598,0.244,0.589
12.0930384,-61.6223145,0.893,0.595
12.2219175,-61.6662598,0.393,0.581
12.0715524,-61.7102051,-0.011,0.579
12.4580325,-61.4904785,0.422,0.605
12.1360050,-61.7541504,0.839,0.587
12.1574857,-61.7321777,0.880,0.610
12.4580325,-61.4465332,0.517,0.541
12.1574857,-61.7102051,0.047,0.590
12.1360050,-61.6882324,0.536,0.563
12.4794869,-61.4245605,0.482,0.588
12.5009395,-61.4465332,0.276,0.592
12.4794869,-61.4685059,0.920,0.603
12.0500648,-61.6882324,0.449,0.604
12.2004420,-61.6662598,0.322,0.590
12.0930384,-61.6442871,0.155,0.600
12.1360050,-61.6442871,0.399,0.592
12.0285754,-61.7541504,1.550,0.618
12.0285754,-61.7102051,0.600,0.596
12.4580325,-61.4685059,0.262,0.594
12.5223904,-61.4245605,0.394,0.587
12.1789647,-61.6223145,0.616,0.593
12.0285754,-61.6442871,-0.357,0.610
12.1360050,-61.6662598,0.415,0.571
12.4794869,-61.4904785,1.215,0.583
