latitude,longitude,rwi,error
4.3792747,-59.6447754,-0.437,0.392
6.7409861,-58.2165527,0.185,0.492
6.9373327,-58.3703613,-0.328,0.403
6.8500775,-58.3483887,0.232,0.524
6.0422360,-57.2497559,0.397,0.488
6.8500775,-58.4362793,0.511,0.518
6.6318701,-57.9089355,0.057,0.486
7.7654229,-59.8425293,-0.588,0.401
4.0724942,-59.5568848,-0.538,0.395
6.7846256,-58.0187988,0.755,0.505
6.3698938,-58.2385254,-0.339,0.456
6.5227299,-58.1726074,-0.195,0.439
6.9155204,-58.4143066,-0.355,0.488
8.2006163,-59.7985840,0.183,0.606
6.7409861,-57.9968262,0.279,0.506
7.5258726,-58.6340332,-0.434,0.412
6.7846256,-58.5681152,-0.575,0.410
6.2606973,-57.5354004,0.431,0.502
7.2643942,-58.5021973,-0.102,0.501
6.2170122,-57.2937012,0.414,0.497
3.3489215,-59.7985840,0.655,0.542
6.7628064,-58.2604980,-0.120,0.501
6.8718928,-58.2604980,0.436,0.501
5.8236865,-57.1618652,0.467,0.391
5.0143386,-59.9743652,-0.392,0.398
6.6973426,-58.1726074,1.129,0.525
7.5912178,-58.9196777,-0.493,0.399
6.7409861,-58.1506348,0.516,0.529
5.9548266,-58.3044434,0.286,0.501
6.0203850,-58.2824707,0.536,0.476
3.0198411,-59.7766113,-0.404,0.419
6.4354006,-57.6232910,-0.161,0.494
6.5663889,-58.1506348,-0.339,0.408
7.6565531,-58.9636230,-0.712,0.567
6.8064439,-58.4802246,-0.037,0.511
7.5040887,-58.9855957,-0.535,0.391
3.4147247,-59.5788574,-0.980,0.413
6.6973426,-57.9309082,0.510,0.468
7.4823037,-60.1501465,-0.106,0.558
7.1990006,-58.5241699,-0.293,0.486
6.9591440,-58.5461426,-1.017,0.455
6.0422360,-57.1838379,-0.106,0.495
5.8455454,-57.1618652,0.119,0.343
5.9548266,-58.2824707,0.655,0.404
6.8718928,-58.4802246,-0.543,0.487
6.8064439,-58.1945801,0.536,0.526
6.8282612,-58.4582520,0.299,0.513
6.8937071,-58.5021973,-0.807,0.475
6.6318701,-58.2165527,-0.046,0.467
7.6347758,-58.9636230,-0.780,0.547
7.3733623,-58.6340332,-1.007,0.509
6.9809543,-58.4582520,-0.309,0.477
7.2425974,-58.7438965,-0.593,0.407
6.4790672,-58.2165527,-0.122,0.461
6.2825384,-57.4035645,0.567,0.472
6.2606973,-57.5573730,-0.303,0.427
7.3297783,-58.8098145,-0.962,0.391
3.3927908,-59.6008301,-0.801,0.397
7.3951528,-58.5241699,-0.417,0.473
7.6783293,-59.2272949,-0.814,0.390
6.2606973,-58.2604980,-0.093,0.517
7.5694372,-60.0402832,-0.432,0.456
6.6536952,-58.1726074,-0.563,0.427
6.7409861,-58.5021973,-0.921,0.498
4.0067400,-59.4250488,-0.515,0.400
6.5008990,-58.1945801,-0.238,0.469
7.2207995,-58.5900879,-0.056,0.404
5.9985331,-58.2824707,0.518,0.449
6.2170122,-57.3156738,0.032,0.489
6.8064439,-58.5241699,-0.457,0.426
6.8282612,-58.0627441,-0.163,0.525
6.1951683,-57.2497559,0.242,0.472
7.6783293,-58.9636230,-0.488,0.445
7.3733623,-58.6120605,-0.873,0.455
6.8282612,-58.1945801,-0.299,0.509
7.3297783,-58.4802246,0.071,0.514
4.3573658,-59.6667480,-0.676,0.392
6.3917304,-57.6232910,-0.418,0.481
5.7581050,-60.3479004,-0.852,0.400
6.8064439,-58.1726074,1.626,0.493
7.6129974,-58.8757324,-0.220,0.453
7.3297783,-58.6560059,-0.373,0.422
8.3962996,-59.7546387,0.187,0.428
6.2606973,-57.5134277,0.889,0.517
6.5227299,-58.2385254,-0.357,0.490
7.3079846,-58.6340332,-1.409,0.404
7.3079846,-58.6779785,-0.407,0.407
6.3698938,-58.6340332,-0.312,0.605
6.8718928,-58.3923340,0.019,0.486
6.6318701,-57.8430176,-0.802,0.454
6.4354006,-58.2165527,-0.634,0.439
7.5476555,-58.6560059,-0.717,0.402
6.8064439,-58.5461426,-0.485,0.386
3.3927908,-59.7985840,-0.292,0.543
6.1514779,-57.2277832,0.244,0.501
6.7628064,-58.1506348,0.820,0.522
7.5040887,-58.8098145,-0.945,0.511
6.6973426,-58.2824707,-0.588,0.401
6.8718928,-58.5021973,-0.668,0.432
6.3698938,-57.6013184,-0.136,0.444
7.0463790,-58.4802246,0.262,0.519
7.5912178,-58.8757324,-0.466,0.403
6.4354006,-58.2604980,-0.977,0.506
7.5694372,-59.0295410,-1.492,0.409
6.4790672,-58.2385254,-0.094,0.479
7.2425974,-58.5461426,-0.628,0.511
6.2825384,-57.5573730,-0.110,0.457
6.5008990,-58.2604980,0.806,0.486
7.3297783,-58.5461426,-0.263,0.468
7.5694372,-60.1721191,-1.263,0.427
7.5258726,-60.1281738,-1.051,0.420
6.5445599,-58.2385254,0.756,0.507
6.0422360,-57.2717285,-0.146,0.471
6.9373327,-58.4143066,-0.542,0.461
6.2606973,-57.3596191,0.827,0.442
6.9373327,-58.4802246,0.007,0.477
7.0681852,-58.4802246,-0.129,0.524
6.9155204,-58.3923340,0.264,0.499
6.5882169,-57.8210449,0.394,0.459
7.5694372,-58.7219238,-0.740,0.386
3.0637244,-59.7106934,-0.480,0.434
6.8064439,-58.2604980,0.056,0.525
6.7628064,-58.2165527,0.474,0.514
7.5040887,-60.1501465,-0.068,0.491
8.3093413,-59.7985840,-0.331,0.399
6.4354006,-58.2385254,-0.185,0.470
7.5476555,-59.0954590,-0.521,0.395
6.6536952,-57.9528809,-0.839,0.416
6.7628064,-58.1726074,0.710,0.531
6.3917304,-61.1389160,-0.771,0.438
6.3917304,-58.6560059,-0.370,0.497
6.7628064,-57.9748535,0.710,0.522
6.6100440,-57.8430176,-0.248,0.484
7.5258726,-59.5788574,-0.799,0.389
6.4790672,-57.6892090,-0.260,0.464
7.2425974,-58.8317871,-0.911,0.388
6.3043786,-57.5354004,-0.357,0.472
6.7191648,-58.2824707,-0.511,0.526
6.8937071,-58.4362793,-0.426,0.483
8.2223637,-59.7326660,-0.089,0.404
7.0245718,-58.4802246,0.574,0.519
6.5008990,-57.7551270,0.135,0.489
6.3043786,-57.4475098,-0.357,0.576
7.3733623,-58.5900879,-0.568,0.451
6.3698938,-57.7111816,-0.686,0.389
6.2825384,-57.4914551,0.610,0.467
6.8718928,-58.3044434,0.927,0.518
6.4354006,-57.7770996,0.014,0.505
6.1077838,-57.2937012,0.346,0.497
6.8282612,-58.1286621,0.638,0.524
6.4572344,-57.7990723,-0.436,0.422
6.5445599,-58.2165527,-0.034,0.510
6.0203850,-57.1618652,0.231,0.480
6.7409861,-58.1726074,1.138,0.496
7.5040887,-58.6340332,-0.677,0.389
6.2388552,-57.4914551,0.526,0.517
7.1553996,-58.4802246,0.128,0.526
6.8500775,-58.5021973,-0.477,0.423
6.4572344,-57.6452637,-0.444,0.481
6.5008990,-58.2165527,-0.038,0.475
6.9591440,-58.4362793,-0.109,0.441
3.5024552,-59.6887207,-0.445,0.407
6.7846256,-58.1945801,0.711,0.503
6.3698938,-57.5793457,0.851,0.501
6.7846256,-58.1286621,1.076,0.525
6.5227299,-57.7111816,-0.638,0.465
6.7846256,-58.0407715,0.937,0.498
6.5227299,-58.1506348,-0.469,0.428
7.6347758,-58.9196777,-1.057,0.414
7.1990006,-58.5461426,-0.629,0.426
3.3927908,-59.6228027,-0.628,0.398
7.3297783,-58.7878418,-0.861,0.391
5.9985331,-58.3483887,0.457,0.485
6.1733235,-57.2277832,0.127,0.484
6.2388552,-57.2937012,-0.555,0.468
6.2388552,-57.3376465,0.572,0.490
6.2388552,-57.5134277,0.912,0.477
7.5476555,-58.6779785,-1.119,0.422
6.4135660,-58.2165527,-0.443,0.485
6.7628064,-57.9968262,1.008,0.509
6.5663889,-58.2165527,0.260,0.471
6.9591440,-58.4802246,0.092,0.521
6.5008990,-58.2824707,-0.446,0.463
7.0681852,-58.5021973,-0.630,0.518
7.5258726,-59.3811035,-0.977,0.390
7.0027636,-58.4582520,-0.125,0.437
6.8282612,-58.0847168,0.439,0.507
6.6973426,-58.2604980,0.424,0.485
6.3917304,-58.6340332,0.404,0.540
8.1788678,-59.8205566,-0.639,0.525
7.7218784,-59.1174316,-0.218,0.391
6.6755194,-57.9309082,0.602,0.503
6.5445599,-58.1945801,-0.040,0.520
6.1077838,-57.2717285,0.180,0.479
6.9809543,-58.4143066,-0.662,0.431
6.5882169,-58.1945801,-0.219,0.491
5.8892605,-57.1618652,-0.252,0.465
7.5694372,-58.6779785,-0.847,0.401
5.2988268,-58.0847168,-0.226,0.374
6.1296313,-57.2058105,0.061,0.482
7.4823037,-58.9855957,-0.755,0.404
7.5258726,-59.0075684,-0.928,0.391
6.8064439,-58.0187988,-0.217,0.495
6.0859354,-57.1838379,-0.124,0.490
6.7846256,-58.0627441,0.419,0.510
7.3297783,-58.6340332,-0.819,0.408
7.2207995,-58.4802246,0.277,0.531
7.5912178,-59.5568848,-0.725,0.389
6.1296313,-57.2277832,-0.364,0.467
6.2825384,-57.4475098,0.651,0.473
6.8282612,-58.2165527,0.592,0.474
8.2006163,-59.7546387,-0.469,0.419
6.8500775,-58.4143066,0.154,0.506
6.7846256,-58.2385254,0.401,0.523
6.6973426,-58.1945801,0.562,0.469
7.5258726,-58.6560059,-0.548,0.418
3.4585910,-59.5568848,-0.423,0.395
2.0979197,-59.2492676,-1.194,0.388
6.8500775,-58.2604980,0.383,0.505
6.7191648,-58.2165527,0.590,0.510
6.1733235,-57.5354004,-0.201,0.504
6.6973426,-57.9089355,-0.396,0.478
7.0463790,-58.5461426,-0.588,0.433
6.2170122,-57.5134277,-0.234,0.480
6.0203850,-58.3044434,0.614,0.542
6.0859354,-57.2717285,0.055,0.470
6.8282612,-58.5241699,-0.873,0.388
5.9111167,-57.1618652,-0.600,0.436
4.2039864,-59.6228027,-0.381,0.393
6.5445599,-58.1726074,-0.219,0.466
7.5040887,-59.5788574,-0.513,0.390
6.8064439,-58.0627441,1.031,0.464
6.8064439,-58.1506348,1.475,0.484
7.5912178,-60.0183105,-0.844,0.469
6.8282612,-58.5461426,-0.231,0.412
6.5882169,-58.2165527,0.561,0.505
6.1951683,-57.2717285,0.217,0.493
6.0422360,-58.2604980,0.301,0.479
7.0245718,-58.4362793,-0.668,0.398
6.8064439,-58.1066895,1.098,0.519
7.5694372,-58.6999512,-0.719,0.402
4.0505767,-59.4689941,-0.628,0.399
6.4135660,-58.6340332,0.278,0.544
6.7409861,-58.2385254,-0.112,0.456
6.8282612,-58.1506348,0.723,0.533
4.3792747,-59.6667480,-0.640,0.408
6.4572344,-58.3264160,-1.080,0.373
5.9548266,-58.2604980,0.452,0.420
6.7191648,-58.2604980,0.665,0.511
4.2039864,-59.5788574,-0.478,0.393
7.1117945,-58.4802246,0.270,0.554
7.2861900,-58.5461426,-0.233,0.473
6.5445599,-58.1506348,-0.628,0.413
7.5476555,-59.1394043,-0.302,0.495
6.8282612,-58.1726074,1.130,0.527
6.4135660,-58.2385254,-0.418,0.461
6.7846256,-58.1066895,-0.026,0.505
7.1117945,-58.5021973,0.683,0.534
5.0362268,-59.9523926,-0.744,0.413
6.5663889,-58.2385254,-0.638,0.454
6.7191648,-57.9309082,0.418,0.489
5.9766803,-58.3044434,-0.234,0.477
6.5663889,-58.1945801,-0.157,0.414
6.9155204,-58.4802246,-0.514,0.461
7.5694372,-60.1940918,-0.677,0.403
6.4572344,-57.6672363,0.451,0.476
6.5445599,-57.7551270,0.307,0.499
6.7191648,-57.9528809,0.291,0.517
6.9591440,-58.3923340,-0.731,0.453
6.6536952,-57.8869629,0.503,0.465
6.6755194,-58.1726074,-0.269,0.495
6.1514779,-57.3156738,-0.774,0.489
7.4823037,-60.1281738,-0.486,0.454
6.9809543,-58.5021973,0.202,0.525
6.1514779,-58.2385254,-0.069,0.439
6.7409861,-58.2824707,0.483,0.486
7.2425974,-58.4802246,0.923,0.533
5.2769476,-58.0627441,0.317,0.556
6.0203850,-58.3264160,-0.013,0.435
3.3050503,-59.6447754,-0.393,0.397
5.9985331,-58.3264160,0.888,0.485
6.8064439,-58.5681152,-0.780,0.428
7.1990006,-58.5021973,-0.037,0.528
6.4135660,-57.6232910,0.366,0.512
5.2550677,-58.0847168,0.163,0.406
7.3515708,-58.5021973,0.354,0.509
7.2861900,-58.4802246,0.699,0.530
6.7191648,-58.2385254,0.224,0.465
