latitude,longitude,rwi,error
13.7420528,-60.9851074,0.883,0.671
13.7633955,-60.9631348,0.580,0.658
13.7633955,-61.0070801,0.216,0.647
13.8914108,-60.9191895,-0.285,0.668
14.0193555,-60.9631348,0.733,0.670
13.7847363,-60.9631348,0.212,0.658
13.9767151,-61.0290527,0.246,0.709
13.7847363,-60.9851074,0.463,0.637
13.8487469,-61.0729980,0.169,0.631
14.0833011,-60.9411621,0.916,0.678
13.7847363,-61.0510254,1.070,0.650
14.1046123,-60.9191895,0.372,0.748
14.0406726,-60.9851074,0.288,0.649
13.9340669,-61.0510254,0.679,0.668
13.8274120,-60.9631348,-0.678,0.685
13.7847363,-61.0290527,-0.040,0.647
14.0193555,-60.9411621,0.690,0.672
13.9980363,-61.0070801,1.081,0.673
13.8060751,-60.8972168,-0.177,0.631
13.8274120,-60.9411621,0.131,0.663
14.0193555,-60.9851074,1.340,0.638
13.9553920,-61.0510254,-0.053,0.647
13.9767151,-60.9851074,0.683,0.663
14.0619878,-60.9191895,0.215,0.676
13.8060751,-61.0510254,0.373,0.646
14.0193555,-61.0070801,0.793,0.666
13.9340669,-61.0070801,0.161,0.659
13.8060751,-61.0729980,-0.080,0.667
13.8487469,-60.9191895,0.012,0.645
13.7633955,-60.9851074,0.691,0.665
13.8487469,-61.0510254,0.958,0.668
13.8274120,-61.0729980,0.420,0.706
13.9980363,-60.9191895,0.091,0.660
13.7633955,-60.9411621,0.524,0.661
13.7847363,-60.9191895,0.591,0.632
13.7633955,-60.9191895,0.010,0.623
13.8274120,-61.0510254,0.119,0.669
13.8487469,-60.8972168,0.149,0.657
13.7847363,-61.0070801,0.287,0.662
13.8274120,-60.9191895,0.499,0.670
13.9127399,-60.8752441,-0.528,0.621
14.0406726,-60.9631348,0.755,0.670
13.9553920,-60.9631348,-0.025,0.648
13.9127399,-60.9851074,0.075,0.653
13.8060751,-60.9851074,-0.547,0.904
14.0619878,-60.9851074,-0.019,0.746
14.1046123,-60.9411621,0.910,0.722
13.9767151,-61.0070801,0.861,0.666
13.9340669,-60.9631348,0.035,0.628
13.9340669,-60.9851074,0.626,0.651
13.7633955,-61.0290527,0.360,0.663
13.9553920,-61.0070801,0.633,0.666
13.8487469,-61.0290527,0.175,0.649
13.8700799,-60.9191895,-0.281,0.598
13.8060751,-60.9631348,-0.162,0.646
13.8060751,-60.9411621,0.247,0.671
13.8700799,-60.8972168,1.000,0.643
13.9553920,-60.9851074,0.411,0.649
13.8060751,-61.0070801,0.035,0.660
13.8274120,-60.8972168,0.950,0.671
13.9127399,-60.8972168,0.682,0.671
14.0406726,-60.9191895,0.423,0.662
13.8914108,-61.0729980,0.269,0.650
13.8060751,-60.9191895,0.635,0.664
13.8914108,-61.0510254,0.132,0.630
13.8700799,-61.0729980,-0.085,0.708
14.0833011,-60.9631348,0.692,0.706
14.0406726,-60.9411621,0.461,0.665
13.8700799,-61.0510254,-0.122,0.648
13.8060751,-61.0290527,-0.101,0.650
13.9767151,-60.9631348,0.449,0.641
14.0193555,-60.9191895,0.132,0.664
13.9553920,-60.9411621,-0.210,0.615
13.7847363,-61.0729980,0.508,0.665
13.9340669,-60.8972168,0.488,0.647
13.7847363,-60.9411621,0.205,0.647
14.0619878,-60.9411621,0.820,0.669
13.9980363,-60.8972168,-0.123,0.625
13.9553920,-60.8972168,-0.020,0.654
14.0833011,-60.9191895,0.500,0.660
13.7633955,-61.0510254,0.572,0.667
13.9340669,-60.9191895,0.197,0.658
13.8274120,-61.0290527,0.043,0.654
13.9980363,-60.9631348,0.884,0.668
13.9980363,-60.9411621,0.297,0.667
13.7420528,-60.9631348,0.847,0.674
13.7420528,-61.0070801,0.273,0.652
13.9127399,-61.0729980,0.369,0.655
13.7847363,-60.8972168,0.196,0.650
13.7207082,-60.9411621,0.611,0.668
13.8914108,-61.0070801,-0.447,0.618
13.9553920,-61.0290527,0.259,0.695
13.9127399,-61.0070801,-0.413,0.621
13.9340669,-61.0290527,0.061,0.643
13.9553920,-60.9191895,0.066,0.670
13.8914108,-60.8972168,0.036,0.591
13.9127399,-61.0510254,0.159,0.635
13.9980363,-60.9851074,1.071,0.678
13.9127399,-60.9191895,0.093,0.639
13.9340669,-60.9411621,0.326,0.649
13.7207082,-60.9631348,0.885,0.680
14.0619878,-60.9631348,1.028,0.685
13.7420528,-60.9411621,0.479,0.693
