latitude,longitude,rwi,error
13.2720261,-61.1389160,-0.444,0.644
12.9938527,-61.2707520,0.962,0.643
12.9938527,-61.2268066,0.768,0.649
13.3789314,-61.1828613,-0.170,0.601
13.2720261,-61.1169434,0.673,0.655
13.3361750,-61.2048340,-0.557,0.511
13.1650736,-61.2268066,1.527,0.666
13.1864679,-61.1828613,0.103,0.649
13.1436775,-61.1608887,0.900,0.657
13.1650736,-61.1608887,0.860,0.642
13.2934109,-61.1169434,0.412,0.662
13.3789314,-61.1608887,0.303,0.639
13.3147939,-61.1169434,0.211,0.640
13.1436775,-61.2268066,1.368,0.668
13.2506393,-61.2707520,0.367,0.646
13.2934109,-61.1389160,-0.380,0.657
13.1864679,-61.1389160,0.668,0.647
12.9938527,-61.2487793,1.184,0.646
13.3361750,-61.1389160,-0.531,0.642
13.2078602,-61.2487793,-0.142,0.641
13.1864679,-61.2268066,-0.339,0.643
13.1222796,-61.1608887,-0.229,0.650
13.3789314,-61.1389160,0.693,0.653
13.2506393,-61.2487793,0.185,0.644
13.1864679,-61.2707520,0.301,0.646
13.1222796,-61.2048340,0.246,0.643
13.2934109,-61.2487793,1.172,0.660
13.1864679,-61.2487793,0.469,0.657
12.7153674,-61.3146973,0.917,0.666
12.8867796,-61.1828613,0.942,0.668
12.6939327,-61.3366699,0.878,0.667
13.2078602,-61.1608887,0.442,0.658
13.1436775,-61.1828613,0.843,0.652
13.2078602,-61.1828613,-0.062,0.633
13.2506393,-61.1389160,0.662,0.654
13.2078602,-61.1389160,0.707,0.655
13.0366691,-61.2268066,0.166,0.729
13.1864679,-61.2048340,0.027,0.643
13.3575541,-61.1389160,0.904,0.648
13.2078602,-61.2268066,0.026,0.651
13.2078602,-61.2707520,0.610,0.656
12.7153674,-61.3366699,0.203,0.630
13.0152618,-61.2487793,0.486,0.654
13.1222796,-61.1828613,0.891,0.651
13.3147939,-61.1389160,-0.101,0.563
12.6081759,-61.4245605,0.917,0.648
13.2292507,-61.2707520,1.379,0.663
13.2934109,-61.2268066,0.291,0.654
12.6296178,-61.4025879,0.564,0.648
13.2292507,-61.1169434,0.455,0.649
13.1650736,-61.2487793,1.520,0.619
13.1436775,-61.2048340,1.323,0.661
13.2720261,-61.2268066,-0.586,0.626
13.3147939,-61.2048340,-0.285,0.535
13.2292507,-61.1389160,0.781,0.647
12.8653594,-61.1828613,0.968,0.641
13.1650736,-61.1828613,0.506,0.651
12.5867322,-61.4465332,0.089,0.644
13.3147939,-61.2268066,-0.085,0.697
13.2506393,-61.1169434,0.922,0.653
13.1650736,-61.2048340,0.614,0.651
13.1650736,-61.1389160,0.183,0.636
12.6081759,-61.4465332,0.484,0.642
12.5867322,-61.4025879,0.232,0.689
13.3361750,-61.1169434,0.189,0.653
12.5867322,-61.4245605,0.577,0.669
13.0152618,-61.2268066,1.016,0.646
13.1864679,-61.1608887,0.700,0.651
13.2720261,-61.2487793,0.538,0.653
13.2292507,-61.1608887,-0.290,0.618
13.3575541,-61.1828613,-0.577,0.646
