"Entity","Code","Year","avocados__00000572__production__005510__tonnes"
"Africa",NA,1961,63439
"Africa",NA,1962,65118
"Africa",NA,1963,61760
"Africa",NA,1964,62759
"Africa",NA,1965,66269
"Africa",NA,1966,68331
"Africa",NA,1967,71416
"Africa",NA,1968,73906
"Africa",NA,1969,76704
"Africa",NA,1970,78464
"Africa",NA,1971,80181
"Africa",NA,1972,86052
"Africa",NA,1973,87090
"Africa",NA,1974,97017
"Africa",NA,1975,117384
"Africa",NA,1976,112374
"Africa",NA,1977,116720
"Africa",NA,1978,120298
"Africa",NA,1979,131592
"Africa",NA,1980,137343
"Africa",NA,1981,137245
"Africa",NA,1982,140689
"Africa",NA,1983,150873
"Africa",NA,1984,149515
"Africa",NA,1985,156918
"Africa",NA,1986,168065
"Africa",NA,1987,181384
"Africa",NA,1988,189131
"Africa",NA,1989,196018
"Africa",NA,1990,205623
"Africa",NA,1991,234450.81
"Africa",NA,1992,240423.92
"Africa",NA,1993,265187.34
"Africa",NA,1994,259838
"Africa",NA,1995,244437.45
"Africa",NA,1996,258659.73
"Africa",NA,1997,261691.61
"Africa",NA,1998,328089.66
"Africa",NA,1999,302133.25
"Africa",NA,2000,407299.28
"Africa",NA,2001,320791.22
"Africa",NA,2002,355460.88
"Africa",NA,2003,357916.03
"Africa",NA,2004,366546.25
"Africa",NA,2005,452283.12
"Africa",NA,2006,425195.16
"Africa",NA,2007,430619.78
"Africa",NA,2008,462616
"Africa",NA,2009,514435.62
"Africa",NA,2010,607944.6
"Africa",NA,2011,577910.56
"Africa",NA,2012,594675.1
"Africa",NA,2013,570912.8
"Africa",NA,2014,767568.56
"Africa",NA,2015,757565.06
"Africa",NA,2016,804386.3
"Africa",NA,2017,821869.8
"Africa",NA,2018,923878.56
"Africa",NA,2019,948670.5
"Africa",NA,2020,1191693.4
"Africa",NA,2021,1256010.6
"Africa",NA,2022,1289877.2
"Africa",NA,2023,1421670.2
"Africa (FAO)",NA,1961,63439
"Africa (FAO)",NA,1962,65118
"Africa (FAO)",NA,1963,61760
"Africa (FAO)",NA,1964,62759
"Africa (FAO)",NA,1965,66269
"Africa (FAO)",NA,1966,68331
"Africa (FAO)",NA,1967,71416
"Africa (FAO)",NA,1968,73906
"Africa (FAO)",NA,1969,76704
"Africa (FAO)",NA,1970,78464
"Africa (FAO)",NA,1971,80181
"Africa (FAO)",NA,1972,86052
"Africa (FAO)",NA,1973,87090
"Africa (FAO)",NA,1974,97017
"Africa (FAO)",NA,1975,117384
"Africa (FAO)",NA,1976,112374
"Africa (FAO)",NA,1977,116720
"Africa (FAO)",NA,1978,120298
"Africa (FAO)",NA,1979,131592
"Africa (FAO)",NA,1980,137343
"Africa (FAO)",NA,1981,137245
"Africa (FAO)",NA,1982,140689
"Africa (FAO)",NA,1983,150873
"Africa (FAO)",NA,1984,149515
"Africa (FAO)",NA,1985,156918
"Africa (FAO)",NA,1986,168065
"Africa (FAO)",NA,1987,181384
"Africa (FAO)",NA,1988,189131
"Africa (FAO)",NA,1989,196018
"Africa (FAO)",NA,1990,205623
"Africa (FAO)",NA,1991,234450.81
"Africa (FAO)",NA,1992,240423.92
"Africa (FAO)",NA,1993,265187.34
"Africa (FAO)",NA,1994,259837.98
"Africa (FAO)",NA,1995,244437.45
"Africa (FAO)",NA,1996,258659.73
"Africa (FAO)",NA,1997,261691.6
"Africa (FAO)",NA,1998,328089.66
"Africa (FAO)",NA,1999,302133.28
"Africa (FAO)",NA,2000,407299.28
"Africa (FAO)",NA,2001,320791.22
"Africa (FAO)",NA,2002,355460.88
"Africa (FAO)",NA,2003,357916.03
"Africa (FAO)",NA,2004,366546.22
"Africa (FAO)",NA,2005,452283.12
"Africa (FAO)",NA,2006,425195.16
"Africa (FAO)",NA,2007,430619.78
"Africa (FAO)",NA,2008,462616
"Africa (FAO)",NA,2009,514435.62
"Africa (FAO)",NA,2010,607944.6
"Africa (FAO)",NA,2011,577910.56
"Africa (FAO)",NA,2012,594675.06
"Africa (FAO)",NA,2013,570912.8
"Africa (FAO)",NA,2014,767568.56
"Africa (FAO)",NA,2015,757565.06
"Africa (FAO)",NA,2016,804386.3
"Africa (FAO)",NA,2017,821869.8
"Africa (FAO)",NA,2018,923878.56
"Africa (FAO)",NA,2019,948670.5
"Africa (FAO)",NA,2020,1191693.4
"Africa (FAO)",NA,2021,1256010.6
"Africa (FAO)",NA,2022,1289877.2
"Africa (FAO)",NA,2023,1421670.2
"Americas (FAO)",NA,1961,606374
"Americas (FAO)",NA,1962,635462
"Americas (FAO)",NA,1963,677359
"Americas (FAO)",NA,1964,671988
"Americas (FAO)",NA,1965,735599
"Americas (FAO)",NA,1966,744851
"Americas (FAO)",NA,1967,799651
"Americas (FAO)",NA,1968,813865
"Americas (FAO)",NA,1969,864537
"Americas (FAO)",NA,1970,892151
"Americas (FAO)",NA,1971,951514
"Americas (FAO)",NA,1972,964515
"Americas (FAO)",NA,1973,1006978
"Americas (FAO)",NA,1974,987421
"Americas (FAO)",NA,1975,1025525
"Americas (FAO)",NA,1976,1074938
"Americas (FAO)",NA,1977,1116157
"Americas (FAO)",NA,1978,1181504
"Americas (FAO)",NA,1979,1107438
"Americas (FAO)",NA,1980,1322625
"Americas (FAO)",NA,1981,1286033
"Americas (FAO)",NA,1982,1385099
"Americas (FAO)",NA,1983,1367339
"Americas (FAO)",NA,1984,1345297
"Americas (FAO)",NA,1985,1396328
"Americas (FAO)",NA,1986,1588209
"Americas (FAO)",NA,1987,1384048
"Americas (FAO)",NA,1988,1539729
"Americas (FAO)",NA,1989,1313265
"Americas (FAO)",NA,1990,1400574
"Americas (FAO)",NA,1991,1540306.2
"Americas (FAO)",NA,1992,1578243
"Americas (FAO)",NA,1993,1416145.8
"Americas (FAO)",NA,1994,1531465.1
"Americas (FAO)",NA,1995,1540238.5
"Americas (FAO)",NA,1996,1588682.6
"Americas (FAO)",NA,1997,1555406
"Americas (FAO)",NA,1998,1649615.5
"Americas (FAO)",NA,1999,1765160.8
"Americas (FAO)",NA,2000,1851254.2
"Americas (FAO)",NA,2001,1979579.4
"Americas (FAO)",NA,2002,2012838.8
"Americas (FAO)",NA,2003,2190642.5
"Americas (FAO)",NA,2004,2228115.5
"Americas (FAO)",NA,2005,2287956.8
"Americas (FAO)",NA,2006,2562269.2
"Americas (FAO)",NA,2007,2514441.5
"Americas (FAO)",NA,2008,2333595
"Americas (FAO)",NA,2009,2700546.5
"Americas (FAO)",NA,2010,2587198.8
"Americas (FAO)",NA,2011,2867241.8
"Americas (FAO)",NA,2012,3061598.8
"Americas (FAO)",NA,2013,3314971
"Americas (FAO)",NA,2014,3594711.5
"Americas (FAO)",NA,2015,3925159.5
"Americas (FAO)",NA,2016,4441219
"Americas (FAO)",NA,2017,4725556
"Americas (FAO)",NA,2018,4958604
"Americas (FAO)",NA,2019,5194662.5
"Americas (FAO)",NA,2020,5692371.5
"Americas (FAO)",NA,2021,6026992
"Americas (FAO)",NA,2022,6445334
"Americas (FAO)",NA,2023,7262547.5
"Angola","AGO",2015,71485
"Angola","AGO",2016,73007
"Angola","AGO",2017,48996
"Angola","AGO",2018,50087
"Angola","AGO",2019,51910
"Angola","AGO",2020,52488
"Angola","AGO",2021,53271
"Angola","AGO",2022,55119
"Angola","AGO",2023,58231
"Argentina","ARG",1961,2000
"Argentina","ARG",1962,3000
"Argentina","ARG",1963,2900
"Argentina","ARG",1964,3030
"Argentina","ARG",1965,3520
"Argentina","ARG",1966,4213
"Argentina","ARG",1967,4293
"Argentina","ARG",1968,10525
"Argentina","ARG",1969,11100
"Argentina","ARG",1970,9150
"Argentina","ARG",1971,9100
"Argentina","ARG",1972,9200
"Argentina","ARG",1973,8900
"Argentina","ARG",1974,8860
"Argentina","ARG",1975,6990
"Argentina","ARG",1976,9050
"Argentina","ARG",1977,10200
"Argentina","ARG",1978,5500
"Argentina","ARG",1979,6000
"Argentina","ARG",1980,3200
"Argentina","ARG",1981,3230
"Argentina","ARG",1982,3000
"Argentina","ARG",1983,3100
"Argentina","ARG",1984,3300
"Argentina","ARG",1985,2600
"Argentina","ARG",1986,2700
"Argentina","ARG",1987,3000
"Argentina","ARG",1988,3000
"Argentina","ARG",1989,3000
"Argentina","ARG",1990,2843
"Argentina","ARG",1991,3100
"Argentina","ARG",1992,3200
"Argentina","ARG",1993,3300
"Argentina","ARG",1994,3400
"Argentina","ARG",1995,3500
"Argentina","ARG",1996,3416.74
"Argentina","ARG",1997,3372.95
"Argentina","ARG",1998,3300
"Argentina","ARG",1999,3349.74
"Argentina","ARG",2000,3390.76
"Argentina","ARG",2001,3438.71
"Argentina","ARG",2002,3500
"Argentina","ARG",2003,3485.75
"Argentina","ARG",2004,3433
"Argentina","ARG",2005,3459.09
"Argentina","ARG",2006,3450
"Argentina","ARG",2007,3600
"Argentina","ARG",2008,3500
"Argentina","ARG",2009,3600
"Argentina","ARG",2010,3726.11
"Argentina","ARG",2011,3839.54
"Argentina","ARG",2012,4100
"Argentina","ARG",2013,4051.54
"Argentina","ARG",2014,4038.59
"Argentina","ARG",2015,4029.92
"Argentina","ARG",2016,4027.05
"Argentina","ARG",2017,4033.27
"Argentina","ARG",2018,4043.69
"Argentina","ARG",2019,4056.69
"Argentina","ARG",2020,4088.36
"Argentina","ARG",2021,4093.4
"Argentina","ARG",2022,4105.21
"Argentina","ARG",2023,4117.03
"Asia",NA,1961,44120
"Asia",NA,1962,44200
"Asia",NA,1963,45450
"Asia",NA,1964,50973
"Asia",NA,1965,52285
"Asia",NA,1966,68185
"Asia",NA,1967,70461
"Asia",NA,1968,69131
"Asia",NA,1969,60379
"Asia",NA,1970,55190
"Asia",NA,1971,50789
"Asia",NA,1972,68413
"Asia",NA,1973,69764
"Asia",NA,1974,90200
"Asia",NA,1975,93968
"Asia",NA,1976,86480
"Asia",NA,1977,107474
"Asia",NA,1978,98460
"Asia",NA,1979,99425
"Asia",NA,1980,105876
"Asia",NA,1981,105492
"Asia",NA,1982,116489
"Asia",NA,1983,128300
"Asia",NA,1984,132161
"Asia",NA,1985,160632
"Asia",NA,1986,160982
"Asia",NA,1987,213571
"Asia",NA,1988,120014
"Asia",NA,1989,105402
"Asia",NA,1990,162047.3
"Asia",NA,1991,191691.11
"Asia",NA,1992,234576.48
"Asia",NA,1993,209087.23
"Asia",NA,1994,230271.02
"Asia",NA,1995,303474.4
"Asia",NA,1996,313249.34
"Asia",NA,1997,303781.38
"Asia",NA,1998,292015.4
"Asia",NA,1999,299415.38
"Asia",NA,2000,340996.94
"Asia",NA,2001,340019.22
"Asia",NA,2002,453730.5
"Asia",NA,2003,440498.1
"Asia",NA,2004,434740.38
"Asia",NA,2005,476101.62
"Asia",NA,2006,450067.56
"Asia",NA,2007,416676.3
"Asia",NA,2008,429457.75
"Asia",NA,2009,479582.62
"Asia",NA,2010,439062.62
"Asia",NA,2011,500217.97
"Asia",NA,2012,525338
"Asia",NA,2013,528098.06
"Asia",NA,2014,564503.3
"Asia",NA,2015,652683.25
"Asia",NA,2016,583233.3
"Asia",NA,2017,647136.44
"Asia",NA,2018,802109.06
"Asia",NA,2019,888941.8
"Asia",NA,2020,1101902.4
"Asia",NA,2021,1246318.2
"Asia",NA,2022,1504185.8
"Asia",NA,2023,1477096.6
"Asia (FAO)",NA,1961,44160
"Asia (FAO)",NA,1962,44245
"Asia (FAO)",NA,1963,45495
"Asia (FAO)",NA,1964,51018
"Asia (FAO)",NA,1965,52335
"Asia (FAO)",NA,1966,68235
"Asia (FAO)",NA,1967,70511
"Asia (FAO)",NA,1968,69181
"Asia (FAO)",NA,1969,60434
"Asia (FAO)",NA,1970,55245
"Asia (FAO)",NA,1971,50844
"Asia (FAO)",NA,1972,68468
"Asia (FAO)",NA,1973,69814
"Asia (FAO)",NA,1974,90250
"Asia (FAO)",NA,1975,94018
"Asia (FAO)",NA,1976,86535
"Asia (FAO)",NA,1977,107529
"Asia (FAO)",NA,1978,98515
"Asia (FAO)",NA,1979,99480
"Asia (FAO)",NA,1980,105934
"Asia (FAO)",NA,1981,105553
"Asia (FAO)",NA,1982,116580
"Asia (FAO)",NA,1983,128520
"Asia (FAO)",NA,1984,132411
"Asia (FAO)",NA,1985,160932
"Asia (FAO)",NA,1986,161482
"Asia (FAO)",NA,1987,214071
"Asia (FAO)",NA,1988,120564
"Asia (FAO)",NA,1989,106152
"Asia (FAO)",NA,1990,162297.3
"Asia (FAO)",NA,1991,192521.11
"Asia (FAO)",NA,1992,235526.48
"Asia (FAO)",NA,1993,209887.22
"Asia (FAO)",NA,1994,231021.02
"Asia (FAO)",NA,1995,304674.4
"Asia (FAO)",NA,1996,314649.34
"Asia (FAO)",NA,1997,304881.38
"Asia (FAO)",NA,1998,293115.4
"Asia (FAO)",NA,1999,300415.38
"Asia (FAO)",NA,2000,342026.94
"Asia (FAO)",NA,2001,341049.22
"Asia (FAO)",NA,2002,454760.5
"Asia (FAO)",NA,2003,441528.1
"Asia (FAO)",NA,2004,435833.38
"Asia (FAO)",NA,2005,477261.62
"Asia (FAO)",NA,2006,451117.56
"Asia (FAO)",NA,2007,417790.3
"Asia (FAO)",NA,2008,430417.75
"Asia (FAO)",NA,2009,480492.62
"Asia (FAO)",NA,2010,440029.62
"Asia (FAO)",NA,2011,501276.97
"Asia (FAO)",NA,2012,526207
"Asia (FAO)",NA,2013,529078.06
"Asia (FAO)",NA,2014,565370.3
"Asia (FAO)",NA,2015,653512.25
"Asia (FAO)",NA,2016,584043.3
"Asia (FAO)",NA,2017,647853.4
"Asia (FAO)",NA,2018,803059.06
"Asia (FAO)",NA,2019,889851.8
"Asia (FAO)",NA,2020,1103062.4
"Asia (FAO)",NA,2021,1247528.2
"Asia (FAO)",NA,2022,1505495.8
"Asia (FAO)",NA,2023,1478276.6
"Australia","AUS",1961,400
"Australia","AUS",1962,400
"Australia","AUS",1963,500
"Australia","AUS",1964,500
"Australia","AUS",1965,600
"Australia","AUS",1966,600
"Australia","AUS",1967,700
"Australia","AUS",1968,700
"Australia","AUS",1969,800
"Australia","AUS",1970,800
"Australia","AUS",1971,900
"Australia","AUS",1972,941
"Australia","AUS",1973,688
"Australia","AUS",1974,664
"Australia","AUS",1975,710
"Australia","AUS",1976,570
"Australia","AUS",1977,662
"Australia","AUS",1978,980
"Australia","AUS",1979,1400
"Australia","AUS",1980,1700
"Australia","AUS",1981,2400
"Australia","AUS",1982,3400
"Australia","AUS",1983,5400
"Australia","AUS",1984,6200
"Australia","AUS",1985,7000
"Australia","AUS",1986,9700
"Australia","AUS",1987,9798
"Australia","AUS",1988,11082
"Australia","AUS",1989,11414
"Australia","AUS",1990,12005
"Australia","AUS",1991,11542
"Australia","AUS",1992,12925
"Australia","AUS",1993,12925
"Australia","AUS",1994,14000
"Australia","AUS",1995,15640
"Australia","AUS",1996,16416
"Australia","AUS",1997,20072
"Australia","AUS",1998,20174
"Australia","AUS",1999,24311
"Australia","AUS",2000,23976
