"Entity","Code","Year","beans__dry__00000176__production__005510__tonnes"
"Africa",NA,1961,1015116
"Africa",NA,1962,1015200
"Africa",NA,1963,1034416
"Africa",NA,1964,1065483
"Africa",NA,1965,1078757
"Africa",NA,1966,1157600
"Africa",NA,1967,1258215
"Africa",NA,1968,1238680
"Africa",NA,1969,1211219
"Africa",NA,1970,1325695
"Africa",NA,1971,1452540
"Africa",NA,1972,1456291
"Africa",NA,1973,1425068
"Africa",NA,1974,1436128
"Africa",NA,1975,1670921
"Africa",NA,1976,1755873
"Africa",NA,1977,1756122
"Africa",NA,1978,1826570
"Africa",NA,1979,1716783
"Africa",NA,1980,1682745
"Africa",NA,1981,1828715
"Africa",NA,1982,1901814
"Africa",NA,1983,1999574
"Africa",NA,1984,1960378
"Africa",NA,1985,2073917
"Africa",NA,1986,2049385
"Africa",NA,1987,2153924
"Africa",NA,1988,2167768
"Africa",NA,1989,2281778
"Africa",NA,1990,2452315
"Africa",NA,1991,2572001
"Africa",NA,1992,2487712.2
"Africa",NA,1993,2513622
"Africa",NA,1994,2249382
"Africa",NA,1995,2493534.5
"Africa",NA,1996,2243630.2
"Africa",NA,1997,2274255.8
"Africa",NA,1998,2550479.8
"Africa",NA,1999,2675053.8
"Africa",NA,2000,2769692
"Africa",NA,2001,3175487.8
"Africa",NA,2002,3337085
"Africa",NA,2003,3158735.2
"Africa",NA,2004,3042130.8
"Africa",NA,2005,3413101.5
"Africa",NA,2006,3652214.8
"Africa",NA,2007,4077487.8
"Africa",NA,2008,4225188
"Africa",NA,2009,4987999.5
"Africa",NA,2010,5259817
"Africa",NA,2011,5795550.5
"Africa",NA,2012,6203681.5
"Africa",NA,2013,6490067
"Africa",NA,2014,6528233.5
"Africa",NA,2015,7194039.5
"Africa",NA,2016,6933634
"Africa",NA,2017,7739314
"Africa",NA,2018,7159596.5
"Africa",NA,2019,6821435
"Africa",NA,2020,7396520
"Africa",NA,2021,7756113
"Africa",NA,2022,7820131.5
"Africa",NA,2023,8322888
"Africa (FAO)",NA,1961,1025356
"Africa (FAO)",NA,1962,1020160
"Africa (FAO)",NA,1963,1040481
"Africa (FAO)",NA,1964,1076013
"Africa (FAO)",NA,1965,1089221
"Africa (FAO)",NA,1966,1168528
"Africa (FAO)",NA,1967,1265322
"Africa (FAO)",NA,1968,1242716
"Africa (FAO)",NA,1969,1213219
"Africa (FAO)",NA,1970,1329695
"Africa (FAO)",NA,1971,1456540
"Africa (FAO)",NA,1972,1461291
"Africa (FAO)",NA,1973,1429068
"Africa (FAO)",NA,1974,1440128
"Africa (FAO)",NA,1975,1676921
"Africa (FAO)",NA,1976,1761873
"Africa (FAO)",NA,1977,1760122
"Africa (FAO)",NA,1978,1836570
"Africa (FAO)",NA,1979,1719783
"Africa (FAO)",NA,1980,1686745
"Africa (FAO)",NA,1981,1832715
"Africa (FAO)",NA,1982,1903814
"Africa (FAO)",NA,1983,2003407
"Africa (FAO)",NA,1984,1964130
"Africa (FAO)",NA,1985,2075917
"Africa (FAO)",NA,1986,2051385
"Africa (FAO)",NA,1987,2156924
"Africa (FAO)",NA,1988,2170768
"Africa (FAO)",NA,1989,2284778
"Africa (FAO)",NA,1990,2455315
"Africa (FAO)",NA,1991,2575001
"Africa (FAO)",NA,1992,2490712.2
"Africa (FAO)",NA,1993,2518622
"Africa (FAO)",NA,1994,2264382
"Africa (FAO)",NA,1995,2500534.5
"Africa (FAO)",NA,1996,2251630.2
"Africa (FAO)",NA,1997,2285255.8
"Africa (FAO)",NA,1998,2561979.8
"Africa (FAO)",NA,1999,2694053.8
"Africa (FAO)",NA,2000,2800692
"Africa (FAO)",NA,2001,3225487.8
"Africa (FAO)",NA,2002,3362085
"Africa (FAO)",NA,2003,3169735.2
"Africa (FAO)",NA,2004,3056130.8
"Africa (FAO)",NA,2005,3428371.5
"Africa (FAO)",NA,2006,3668095.8
"Africa (FAO)",NA,2007,4093685.5
"Africa (FAO)",NA,2008,4242188
"Africa (FAO)",NA,2009,4999999.5
"Africa (FAO)",NA,2010,5268956
"Africa (FAO)",NA,2011,5803537.5
"Africa (FAO)",NA,2012,6203681.5
"Africa (FAO)",NA,2013,6490067
"Africa (FAO)",NA,2014,6528233.5
"Africa (FAO)",NA,2015,7194039.5
"Africa (FAO)",NA,2016,6933634
"Africa (FAO)",NA,2017,7739314
"Africa (FAO)",NA,2018,7159596.5
"Africa (FAO)",NA,2019,6821435
"Africa (FAO)",NA,2020,7396520
"Africa (FAO)",NA,2021,7756113
"Africa (FAO)",NA,2022,7820131.5
"Africa (FAO)",NA,2023,8322888
"Albania","ALB",1961,9247
"Albania","ALB",1962,8929
"Albania","ALB",1963,14016
"Albania","ALB",1964,12790
"Albania","ALB",1965,8359
"Albania","ALB",1966,12392
"Albania","ALB",1967,13443
"Albania","ALB",1968,14767
