"Entity","Code","Year","palm_oil__00000257__production__005510__tonnes"
"Africa",NA,1961,1131882
"Africa",NA,1962,1111006
"Africa",NA,1963,1145004
"Africa",NA,1964,1160831
"Africa",NA,1965,1138860
"Africa",NA,1966,1151649
"Africa",NA,1967,1100007
"Africa",NA,1968,1154021
"Africa",NA,1969,1195096
"Africa",NA,1970,1077079
"Africa",NA,1971,1076657
"Africa",NA,1972,1038590
"Africa",NA,1973,1011109
"Africa",NA,1974,1122520
"Africa",NA,1975,1176662
"Africa",NA,1976,1168855
"Africa",NA,1977,1141017
"Africa",NA,1978,1174500
"Africa",NA,1979,1278750
"Africa",NA,1980,1357485
"Africa",NA,1981,1176404
"Africa",NA,1982,1162085
"Africa",NA,1983,1147074
"Africa",NA,1984,1182465
"Africa",NA,1985,1333142
"Africa",NA,1986,1406384
"Africa",NA,1987,1487413
"Africa",NA,1988,1468895
"Africa",NA,1989,1534097
"Africa",NA,1990,1643970
"Africa",NA,1991,1662840
"Africa",NA,1992,1714994
"Africa",NA,1993,1749635
"Africa",NA,1994,1760798
"Africa",NA,1995,1801442
"Africa",NA,1996,1765675
"Africa",NA,1997,1721979
"Africa",NA,1998,1787243
"Africa",NA,1999,1846036
"Africa",NA,2000,1851278
"Africa",NA,2001,1815191
"Africa",NA,2002,1922560
"Africa",NA,2003,1967385
"Africa",NA,2004,2137888
"Africa",NA,2005,2186830
"Africa",NA,2006,2381318
"Africa",NA,2007,2437198
"Africa",NA,2008,2486803
"Africa",NA,2009,2460151.2
"Africa",NA,2010,2321491.5
"Africa",NA,2011,2322127.8
"Africa",NA,2012,2322044.2
"Africa",NA,2013,2304952
"Africa",NA,2014,2812982.5
"Africa",NA,2015,3022540.5
"Africa",NA,2016,2694847.8
"Africa",NA,2017,3347970.8
"Africa",NA,2018,3451560.2
"Africa",NA,2019,3132157.8
"Africa",NA,2020,3225475.5
"Africa",NA,2021,3390233
"Africa",NA,2022,3482947.2
"Africa (FAO)",NA,1961,1131882
"Africa (FAO)",NA,1962,1111006
"Africa (FAO)",NA,1963,1145004
"Africa (FAO)",NA,1964,1160831
"Africa (FAO)",NA,1965,1138860
"Africa (FAO)",NA,1966,1151649
"Africa (FAO)",NA,1967,1100007
"Africa (FAO)",NA,1968,1154021
"Africa (FAO)",NA,1969,1195096
"Africa (FAO)",NA,1970,1077079
"Africa (FAO)",NA,1971,1076657
"Africa (FAO)",NA,1972,1038590
"Africa (FAO)",NA,1973,1011109
"Africa (FAO)",NA,1974,1122520
"Africa (FAO)",NA,1975,1176662
"Africa (FAO)",NA,1976,1168855
